condition,listing_type_id,price,buying_mode,status,initial_quantity,available_quantity,free_shipping,shipping_mode,non_mp_pay_count
0,bronze,80.0,1,0,1,1,False,3,3
1,silver,2650.0,1,0,1,1,False,2,2
1,bronze,60.0,1,0,1,1,False,2,3
0,silver,580.0,1,0,1,1,False,2,3
1,bronze,30.0,1,0,1,1,False,3,3
0,bronze,310.0,1,0,1,1,False,3,3
1,free,180.0,1,0,1,1,False,2,0
1,free,150.0,1,0,1,1,False,3,2
0,gold_special,2352.0,1,3,10,10,True,2,2
0,silver,120.0,1,0,2,1,False,2,1
0,bronze,50.0,1,0,100,99,False,3,1
0,free,9500.0,1,0,1,1,False,2,0
1,free,69.0,1,0,1,1,False,0,2
0,bronze,450.0,1,0,1,1,False,3,3
0,bronze,155.0,1,0,1,1,False,2,0
0,bronze,100.0,1,0,1,1,False,2,2
1,bronze,30.0,1,0,1,1,False,3,1
1,free,6000.0,1,0,1,1,False,3,0
0,bronze,110.0,1,0,1,1,False,3,0
0,bronze,170.0,1,0,1,1,False,3,2
1,free,60.0,1,0,1,1,False,2,2
0,bronze,190.0,1,0,1,1,False,2,0
0,bronze,100000.0,1,0,1,1,False,3,0
1,bronze,480.0,1,0,1,1,False,3,1
0,free,950.0,1,0,1,1,False,3,3
1,bronze,140.0,1,0,1,1,False,2,3
1,bronze,55.0,1,0,1,1,False,2,4
1,bronze,75.0,1,0,1,1,False,2,2
1,bronze,100.0,1,0,1,1,False,2,0
0,bronze,590.0,1,0,4,4,False,2,3
1,bronze,165.0,1,0,1,1,False,3,3
0,bronze,199.0,1,0,1,1,False,2,3
0,silver,90.0,1,0,5,5,False,3,2
0,bronze,2550.0,1,0,1,1,False,2,3
0,bronze,650.0,1,0,1,1,False,2,0
1,bronze,100.0,1,0,1,1,False,2,1
0,silver,428.0,1,0,3,2,False,2,10
1,free,130.0,1,0,1,1,False,2,1
1,bronze,40.0,1,0,1,1,False,2,1
1,bronze,2200.0,1,0,1,1,False,0,1
1,free,5000.0,1,0,1,1,False,3,0
1,free,40.0,1,0,1,1,False,2,0
0,bronze,3999.0,1,0,1,1,True,2,3
0,bronze,25.0,1,0,100,100,False,3,0
1,bronze,90.0,1,0,1,1,False,2,0
1,bronze,80.0,1,0,1,1,False,3,0
1,bronze,46.59,1,0,1,1,False,2,4
0,bronze,1320.0,1,0,2,2,False,3,3
0,silver,69.0,1,0,1,1,False,2,3
1,bronze,230.0,1,0,1,1,False,3,3
1,free,120.0,1,0,1,1,False,2,0
0,bronze,89.0,1,0,2,1,False,2,1
1,free,600.0,1,0,1,1,False,2,3
0,bronze,490.0,1,0,55,55,False,3,3
1,silver,233000.0,2,0,1,1,False,3,0
0,gold,483.0,1,0,3,1,False,3,0
0,bronze,170.0,1,0,1,1,False,2,2
1,free,300.0,1,0,1,1,False,3,0
0,bronze,402.27,1,0,1,1,True,2,1
0,silver,7200.0,2,0,1,1,False,3,0
1,bronze,99.9,1,0,1,1,False,3,1
0,bronze,30.0,1,0,999,999,False,3,0
0,bronze,200.0,1,0,1,1,False,3,1
1,bronze,120.0,1,0,1,1,False,2,2
1,bronze,400.0,1,0,1,1,False,3,0
